State,Latitude,Longitude,PopState,PopCountry
Alabama,32.806671,-86.79113,AL,USA
Alaska,61.370716,-152.404419,AK,USA
Arizona,33.729759,-111.431221,AZ,USA
Arkansas,34.969704,-92.373123,AR,USA
California,36.116203,-119.681564,CA,USA
Colorado,39.059811,-105.311104,CO,USA
Connecticut,41.597782,-72.755371,CT,USA
Delaware,39.318523,-75.507141,DE,USA
Florida,27.766279,-81.686783,FL,USA
Georgia,33.040619,-83.643074,GA,USA
Hawaii,21.094318,-157.498337,HI,USA
Idaho,44.240459,-114.478828,ID,USA
Illinois,40.349457,-88.986137,IL,USA
Indiana,39.849426,-86.258278,IN,USA
Iowa,42.011539,-93.210526,IA,USA
Kansas,38.5266,-96.726486,KS,USA
Kentucky,37.66814,-84.670067,KY,USA
Louisiana,31.169546,-91.867805,LA,USA
Maine,44.693947,-69.381927,ME,USA
Maryland,39.063946,-76.802101,MD,USA
Massachusetts,42.230171,-71.530106,MA,USA
Michigan,43.326618,-84.536095,MI,USA
Minnesota,45.694454,-93.900192,MN,USA
Mississippi,32.741646,-89.678696,MS,USA
Missouri,38.456085,-92.288368,MO,USA
Montana,46.921925,-110.454353,MT,USA
Nebraska,41.12537,-98.268082,NE,USA
Nevada,38.313515,-117.055374,NV,USA
New Hampshire,43.452492,-71.563896,NH,USA
New Jersey,40.298904,-74.521011,NJ,USA
New Mexico,34.840515,-106.248482,NM,USA
New York,42.165726,-74.948051,NY,USA
North Carolina,35.630066,-79.806419,NC,USA
North Dakota,47.528912,-99.784012,ND,USA
Ohio,40.388783,-82.764915,OH,USA
Oklahoma,35.565342,-96.928917,OK,USA
Oregon,44.572021,-122.070938,OR,USA
Pennsylvania,40.590752,-77.209755,PA,USA
Rhode Island,41.680893,-71.51178,RI,USA
South Carolina,33.856892,-80.945007,SC,USA
South Dakota,44.299782,-99.438828,SD,USA
Tennessee,35.747845,-86.692345,TN,USA
Texas,31.054487,-97.563461,TX,USA
Utah,40.150032,-111.862434,UT,USA
Vermont,44.045876,-72.710686,VT,USA
Virginia,37.769337,-78.169968,VA,USA
Washington,47.400902,-121.490494,WA,USA
West Virginia,38.491226,-80.954456,WV,USA
Wisconsin,44.268543,-89.616508,WI,USA
Wyoming,42.755966,-107.30249,WY,USA
