Title,Sol#,Department/Ind.Agency,Sub-Tier,Office,PostedDate,Type,ArchiveDate,SetASideCode,ResponseDeadLine,NaicsCode,PopState,PopZip,PopCountry
"GROUNDS MAINTENANCE SERVICES AT THE U.S. NAVAL AIR FACILITY, ATSUGI, JAPAN",N4008425B8909,DEPT OF DEFENSE,DEPT OF THE NAVY,NAVFACSYSCOM FAR EAST,45:36.7,Solicitation,02-01-25,,2025-01-17T10:00:00+09:00,561730,JP-14,,JPN
Railroad Repair,W90VN7-25-D-A001,DEPT OF DEFENSE,DEPT OF THE ARMY,0906 AQ CO     DET B CONTRACTI,33:20.4,Award Notice,01-07-25,,,237990,,,KOR
INTENT TO SOLE SOURCE - CLARK AB - RAMP & HANGER SPACE RENTAL,,DEPT OF DEFENSE,DEPT OF THE AIR FORCE,FA5270  18 CONS PK,02:03.8,Special Notice,1/18/2025,,2025-01-03T08:00:00+09:00,,PH-ANG,,PHL
Tires,W519TCA028299,DEPT OF DEFENSE,DEPT OF THE ARMY,W6QK ACC-RI,04:41.1,Sources Sought,01-11-25,,2024-12-27T13:00:00+03:00,423130,SA-01,,SAU
"Solicitation Notice - LGP Port of Spain, Trinidad & Tobago",19AQMM25R0063,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF",ACQUISITIONS - AQM MOMENTUM,28:09.3,Solicitation,1/25/2025,,2025-01-24T09:00:00-05:00,561612,TT-POS,,TTO
Global Trackers,H9227725QT002,DEPT OF DEFENSE,US SPECIAL OPERATIONS COMMAND (USSOCOM),SOCCENT,38:13.3,Combined Synopsis/Solicitation,01-07-25,,2024-12-23T11:00:00-05:00,334111,,9855,KWT
Up to 60 months Lease of 7 MFDs to be located in Japan,SP7000-25-RFI-1013,DEPT OF DEFENSE,DEFENSE LOGISTICS AGENCY,DCSO-P NEW CUMBERLAND,46:10.8,Sources Sought,1/21/2025,,2025-01-06T12:00:00-05:00,532420,JP-47,,JPN
Silica Pipe Cover,N6275843377493,DEPT OF DEFENSE,DEPT OF THE NAVY,NAVSUP FLT LOG CTR PUGET SOUND,02:44.6,Presolicitation,1/18/2025,SBA,2025-01-03T10:00:00-08:00,238290,,,JPN
Silica Pipe Cover (Brand Name),N6275843377493,DEPT OF DEFENSE,DEPT OF THE NAVY,NAVSUP FLT LOG CTR PUGET SOUND,02:13.1,Presolicitation,1/18/2025,SBA,2025-01-03T10:00:00-08:00,238290,,,JPN
Aero India 2025 Exhibit Build,HQ003425R0054,DEPT OF DEFENSE,WASHINGTON HEADQUARTERS SERVICES (WHS),WASHINGTON HEADQUARTERS SERVICES,39:37.1,Combined Synopsis/Solicitation,1/22/2025,SBA,2025-01-07T11:00:00-05:00,561920,,,IND
